TCP/HTTP, [200], [jQuery][JAVA], http://cyxy.wtu.edu.cn, [创新创业学院]
TCP/HTTP, [200], [layer.js][JAVA][openresty][jQuery][Bootstrap][JSP], http://rszp.wtu.edu.cn, [人才招聘]
TCP/HTTP, [302], [none], http://zcgl.wtu.edu.cn, [None]
TCP/HTTP, [404], [none], http://syszhxt.wtu.edu.cn, [None]
TCP/HTTP, [403], [none], http://ddzxcgl.wtu.edu.cn, [403 Forbidden]
TCP/HTTP, [302], [openresty], http://gateway.wtu.edu.cn, [302 Found]
TCP/HTTP, [200], [jQuery][JAVA], http://mse.wtu.edu.cn, [武汉纺织大学材料科学与工程学院]
TCP/HTTP, [200], [none], http://tcsf.wtu.edu.cn, [智慧后勤]
TCP/HTTP, [200], [none][JSP][JAVA], http://gjc.wtu.edu.cn, [武汉纺织大学国际交流与合作处（International Office of Wuhan Textile University）]
TCP/HTTP, [200], [Microsoft-Exchange][openresty], http://i.wtu.edu.cn, [None]
TCP/HTTP, [200], [openresty][jQuery][Microsoft-Exchange][JSP], http://auth.wtu.edu.cn, [统一身份认证]
TCP/HTTP, [200], [none], http://sso.wtu.edu.cn, [统一身份认证平台]
TCP/HTTP, [302], [none], http://sid.wtu.edu.cn, [None]
TCP/HTTP, [302], [nginx], http://zypt.wtu.edu.cn, [None]
TCP/HTTP, [502], [none], http://ws1.wtu.edu.cn, [访问出错 - 502]
TCP/HTTP, [200], [JSP][Echarts][JAVA][Chart.js][none][jQuery][Bootstrap], http://coder.wtu.edu.cn, [None]
TCP/HTTP, [200], [jQuery][Bootstrap][JAVA], http://csai.wtu.edu.cn, [武汉纺织大学-计算机与人工智能学院]
TCP/HTTP, [200], [JAVA], http://xuebao.wtu.edu.cn, [武汉纺织大学学报]
TCP/HTTP, [200], [cmproxy][Coremail][JAVA], http://mail.wtu.edu.cn, [武汉纺织大学邮件系统]
TCP/HTTP, [302], [openresty], http://ehall.wtu.edu.cn, [302 Found]
TCP/HTTP, [403], , http://mobile.wtu.edu.cn, [403 Forbidden]
TCP/HTTP, [404], [JAVA][none][JSP][Servlet], http://jwglxt.wtu.edu.cn, [None]
TCP/HTTP, [200], [JAVA][jQuery], http://xyh.wtu.edu.cn, [武汉纺织大学校友工作处、校友会、教育发展基金会]
TCP/HTTP, [200], [jQuery][JAVA], http://student.wtu.edu.cn, [武汉纺织大学-党委学生工作部 学生工作处 武装部]
TCP/HTTP, [200], [JAVA][jQuery], http://art.wtu.edu.cn, [武汉纺织大学-艺术与设计学院]
TCP/HTTP, [403], , http://mcs.wtu.edu.cn, [403 Forbidden]
TCP/HTTP, [403], , http://adv.wtu.edu.cn, [403 Forbidden]
TCP/HTTP, [200], [jQuery][The-enterprise-QQ][JAVA], http://hq.wtu.edu.cn, [后勤保障处]
TCP/HTTP, [200], [jQuery][JAVA], http://fe.wtu.edu.cn, [武汉纺织大学经济学院]
TCP/HTTP, [403], , http://hcxy.wtu.edu.cn, [403 Forbidden]
TCP/HTTP, [200], [none][JSP][JAVA], http://fzjxcg.wtu.edu.cn, [None]
TCP/HTTP, [200], [jQuery][Bootstrap][JAVA], http://acc.wtu.edu.cn, [武纺会计学院]
TCP/HTTP, [403], , http://cibe.wtu.edu.cn, [403 Forbidden]
TCP/HTTP, [200], [jQuery][Bootstrap][JAVA], http://cwc.wtu.edu.cn, [财务处2024]
TCP/HTTP, [200], [JAVA][jQuery], http://etc.wtu.edu.cn, [信息化工作办公室(信息计算中心)-武汉纺织大学]
TCP/HTTP, [200], [JAVA][jQuery], http://bifca.wtu.edu.cn, [伯明翰时尚创意学院-武汉纺织大学]
TCP/HTTP, [200], [JAVA], http://dtlab.wtu.edu.cn, [湖北省数字化纺织装备重点实验室]
TCP/HTTP, [200], [jQuery][JAVA], http://fgc.wtu.edu.cn, [武汉纺织大学发展规划处（学科建设办公室）]
TCP/HTTP, [200], [jQuery][JAVA], http://cfd.wtu.edu.cn, [武汉纺织大学-教师发展中心]
TCP/HTTP, [200], [jQuery][The-enterprise-QQ][JAVA], http://dag.wtu.edu.cn, [档案馆]
TCP/HTTP, [403], , http://cfa.wtu.edu.cn, [403 Forbidden]
TCP/HTTP, [200], [jQuery][JAVA], http://fl.wtu.edu.cn, [外国语学院]
TCP/HTTP, [200], [jQuery][JAVA], http://ei.wtu.edu.cn, [武汉纺织大学-电子与电气工程学院]
TCP/HTTP, [200], [jQuery][JAVA], http://gh.wtu.edu.cn, [工会]
TCP/HTTP, [200], [jQuery][JAVA], http://bwc.wtu.edu.cn, [武汉纺织大学保卫处]
TCP/HTTP, [200], [jQuery][JAVA], http://em.wtu.edu.cn, [武汉纺织大学-管理学院]
TCP/HTTP, [200], [jQuery][JAVA], http://ec.wtu.edu.cn, [武汉纺织大学化学与化工学院]
TCP/HTTP, [200], [jQuery][Bootstrap][JAVA], http://english.wtu.edu.cn, [WUHAN TEXTILE UNIVERSITY]
TCP/HTTP, [200], [jQuery][JAVA], http://dpm.wtu.edu.cn, [武汉纺织大学实验室与设备管理处]
TCP/HTTP, [403], , http://csct2016.wtu.edu.cn, [403 Forbidden]
TCP/HTTP, [403], , http://mc.wtu.edu.cn, [403 Forbidden]
TCP/HTTP, [200], [jQuery][JAVA], http://jxjy.wtu.edu.cn, [武汉纺织大学继续教育学院]
TCP/HTTP, [403], , http://jxcg.wtu.edu.cn, [403 Forbidden]
TCP/HTTP, [200], [jQuery][Bootstrap][JAVA], http://mks.wtu.edu.cn, [马克思主义学院]
TCP/HTTP, [403], , http://hqc.wtu.edu.cn, [403 Forbidden]
TCP/HTTP, [403], , http://ma.wtu.edu.cn, [403 Forbidden]
TCP/HTTP, [200], [jQuery][JAVA], http://lib.wtu.edu.cn, [武汉纺织大学图书馆]
TCP/HTTP, [502], [none], http://sam.wtu.edu.cn, [访问出错 - 502]
TCP/HTTP, [200], [jQuery][JAVA], http://rsc.wtu.edu.cn, [党委教师工作部人事处]
TCP/HTTP, [200], [JAVA][jQuery], http://jwc.wtu.edu.cn, [武汉纺织大学教务处]
TCP/HTTP, [200], [JAVA][jQuery], http://me.wtu.edu.cn, [武汉纺织大学机械工程与自动化学院]
TCP/HTTP, [403], , http://keylabnt.wtu.edu.cn, [403 Forbidden]
TCP/HTTP, [200], [jQuery][JAVA], http://jjc.wtu.edu.cn, [武纺基建处]
TCP/HTTP, [403], , http://sites.wtu.edu.cn, [403 Forbidden]
TCP/HTTP, [403], , http://hvt.wtu.edu.cn, [403 Forbidden]
TCP/HTTP, [200], [jQuery][JAVA], http://gs.wtu.edu.cn, [武汉纺织大学研究生院、研究生工作部]
TCP/HTTP, [403], , http://shpg.wtu.edu.cn, [403 Forbidden]
TCP/HTTP, [403], , http://rsgl.wtu.edu.cn, [403 Forbidden]
TCP/HTTP, [200], [JAVA][jQuery], http://kyc.wtu.edu.cn, [武汉纺织大学科学技术发展院]
TCP/HTTP, [200], [jQuery][JAVA], http://welcome.wtu.edu.cn, [武汉纺织大学迎新网]
TCP/HTTP, [403], , http://strz.wtu.edu.cn, [403 Forbidden]
TCP/HTTP, [200], [jQuery][JAVA], http://sz.wtu.edu.cn, [武汉纺织大学思政网]
TCP/HTTP, [200], [jQuery][Bootstrap][JAVA], http://te.wtu.edu.cn, [武汉纺织大学 纺织科学与工程学院]
TCP/HTTP, [200], [JAVA][jQuery], http://ty.wtu.edu.cn, [武汉纺织大学体育部]
TCP/HTTP, [403], , http://tp.wtu.edu.cn, [403 Forbidden]
TCP/HTTP, [200], [jQuery][JAVA], http://cyxy.wtu.edu.cn, [创新创业学院]
TCP/HTTP, [200], [Bootstrap][JSP][layer.js][JAVA][openresty][jQuery], http://rszp.wtu.edu.cn, [人才招聘]
TCP/HTTP, [302], [none], http://zcgl.wtu.edu.cn, [None]
TCP/HTTP, [404], [none], http://syszhxt.wtu.edu.cn, [None]
TCP/HTTP, [403], [none], http://ddzxcgl.wtu.edu.cn, [403 Forbidden]
